,x,y,class,cluster
0,0.28283,0.88552,b'1',38
1,0.27609,0.86195,b'1',38
2,0.27273,0.84512,b'1',38
3,0.27273,0.82492,b'1',38
4,0.27273,0.78451,b'1',38
5,0.26936,0.81145,b'1',38
6,0.27609,0.76094,b'1',105
7,0.2963,0.77778,b'1',38
8,0.29966,0.81818,b'1',38
9,0.30303,0.86869,b'1',38
10,0.28956,0.85185,b'1',38
11,0.2862,0.81481,b'1',38
12,0.2862,0.78114,b'1',38
13,0.2862,0.79461,b'1',38
14,0.30303,0.83838,b'1',38
15,0.28956,0.75758,b'1',105
16,0.28956,0.73064,b'1',105
17,0.27946,0.74074,b'1',105
18,0.26936,0.76768,b'1',38
19,0.3064,0.77778,b'1',38
20,0.2963,0.74747,b'1',105
21,0.30303,0.80135,b'1',38
22,0.30976,0.84848,b'1',38
23,0.29966,0.85522,b'1',38
24,0.2963,0.87205,b'1',38
25,0.30976,0.76094,b'1',105
26,0.3165,0.79461,b'1',38
27,0.3165,0.83165,b'1',38
28,0.31313,0.73064,b'1',105
29,0.3064,0.74074,b'1',105
30,0.29293,0.72391,b'1',105
31,0.28283,0.71044,b'1',105
32,0.28283,0.73064,b'1',105
33,0.27609,0.75084,b'1',105
34,0.27609,0.72054,b'1',105
35,0.30303,0.72054,b'1',105
36,0.26936,0.74747,b'1',105
37,0.2963,0.70707,b'1',105
38,0.2862,0.83502,b'1',105
39,0.28283,0.86869,b'1',38
40,0.28956,0.69697,b'2',105
41,0.27609,0.6835,b'2',105
42,0.27609,0.6734,b'2',105
43,0.28283,0.69024,b'2',105
44,0.29966,0.67677,b'2',105
45,0.29293,0.6835,b'2',105
46,0.2862,0.6734,b'2',105
47,0.2862,0.64983,b'2',105
48,0.29966,0.68013,b'2',105
49,0.30303,0.65657,b'2',105
50,0.30303,0.633,b'2',248
51,0.30303,0.60269,b'2',248
52,0.29966,0.57239,b'2',319
53,0.3064,0.60269,b'2',248
54,0.31313,0.64646,b'2',248
55,0.30976,0.67677,b'2',105
56,0.30976,0.63973,b'2',248
57,0.28956,0.62626,b'2',248
58,0.29966,0.64646,b'2',248
59,0.2862,0.65993,b'2',105
60,0.27946,0.633,b'2',105
61,0.28283,0.61616,b'2',248
62,0.28283,0.60269,b'2',248
63,0.29293,0.61279,b'2',248
64,0.31313,0.6229,b'2',248
65,0.3064,0.6229,b'2',248
66,0.29293,0.58586,b'2',319
67,0.29293,0.56566,b'2',319
68,0.2862,0.57912,b'2',319
69,0.3064,0.56229,b'2',319
70,0.31313,0.58923,b'2',319
71,0.31313,0.59596,b'2',319
72,0.3165,0.60943,b'2',248
73,0.29966,0.61279,b'2',248
74,0.30303,0.66667,b'2',105
75,0.27609,0.6633,b'2',105
76,0.26936,0.633,b'2',105
77,0.27273,0.64983,b'2',105
78,0.29966,0.69697,b'2',105
79,0.2862,0.58923,b'2',319
80,0.26936,0.61953,b'2',248
81,0.27609,0.60943,b'2',248
82,0.30303,0.59259,b'2',319
83,0.31313,0.57912,b'2',319
84,0.29293,0.59933,b'2',319
85,0.3165,0.65657,b'2',248
86,0.3266,0.62963,b'2',248
87,0.3266,0.60606,b'2',248
88,0.32323,0.6532,b'2',248
89,0.3266,0.63973,b'2',248
90,0.3468,0.6229,b'2',248
91,0.27609,0.59259,b'2',319
92,0.3165,0.71717,b'2',105
93,0.3367,0.6835,b'2',185
94,0.3266,0.6734,b'2',248
95,0.29966,0.6835,b'2',105
96,0.29966,0.6532,b'2',105
97,0.29966,0.63973,b'2',248
98,0.28956,0.6633,b'2',105
99,0.27946,0.6633,b'2',105
100,0.27946,0.63636,b'2',105
101,0.28956,0.60943,b'2',248
102,0.28956,0.62963,b'2',248
